formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Cs8I7_s004,Cs8I7,0.0,50.3056598206288,50.3056598206288,46.8187355738715,0.0,65,-2.639459991455078,-0.0287498195966082,-2.6019475316666667,0.0296776998045973,1.0,0.0,True,0.029677699804597335
Cs5Br4_s040,Cs5Br4,0.0,50.80662291442368,51.9992592789545,49.02188122731085,0.0,71,-2.7848868899875217,0.0184218022558426,-2.7824242744444443,0.0300103268965519,1.0,0.0,True,0.03001032689655192
Na6Br5_s002,Na6Br5,0.0,26.871952866641323,26.58390487333403,27.35669172941456,0.0,164,-2.8678829886696557,0.028436769138683,-2.86961153,0.0300777603134796,1.0,0.0,True,0.03007776031347964
Cs4Cl3_s018,Cs4Cl3,0.0,37.53278900678799,39.07783058016634,38.716862796505694,0.0,166,-2.9447199503580728,0.0129369014785405,-2.943437327142857,0.0301227031527098,1.0,0.0,True,0.030122703152709818
Y3N2_s005,Y3N2,49.74911539241366,12.383644876067128,42.227669368550266,25.133345678569984,39.75443283802756,59,-8.5373779296875,0.0216653823852546,-8.564223923,-0.0002654083333339,3.0,0.0,True,0.030231401666666713
Y2S1_s035,Y2S1,40.48943077033351,60.388139925294205,66.35877390396897,58.61898281611663,67.19618429694138,164,-6.995373407999675,0.0088189442952471,-6.988772133333334,0.0302931244444435,4.0,0.0,True,0.030293124444443542
Y5N4_s006,Y5N4,0.0,8.328185381278969,28.58763641776373,0.0,25.14677342891348,164,-8.788247002495659,0.0054919984605579,-8.800536475555555,-0.0035238051851855,3.0,0.0,True,0.03036153925926044
Li5N1_s013,Li5N1,0.0,19.75947872359056,72.67212922459647,68.8406571270972,46.509154311955335,166,-3.1997532314724393,0.0413451724582247,-3.197715016666667,0.0268315372222218,2.0,0.0,True,0.030647460277777316
Na8Cl7_s025,Na8Cl7,0.0,23.56403255992476,23.744221191797937,24.28766386802184,0.0,123,-3.2318125406901044,0.0142700990041091,-3.2191211226666665,0.0313182815632187,1.0,0.0,True,0.0313182815632187
Y2S1_s034,Y2S1,0.0,0.0,35.755746586432444,4.195200001449333,77.79269211806937,166,-6.994027879503038,0.0101644727918834,-6.987646882222222,0.031418375555555,4.0,0.0,True,0.031418375555555045
